title,price,کاربری,کشور برند,ابعاد (میلیمتر),وزن (کیلوگرم),جنس بدنه,شرکت سازنده پردازنده,نوع سری پردازنده,نسل پردازنده,سری پردازنده,مدل,فرکانس پایه,فرکانس افزایشی,حافظه کش,تعداد هسته,تعداد رشته,فناوری ساخت پردازنده,معماری ساخت,مصرف برق پردازنده,مقدار حافظه رم,نوع رم,باس رم,تعداد اسلات رم,قابلیت ارتقاء رم,نوع حافظه,ظرفیت SSD,نوع اتصال SSD,تعداد اسلات SSD,شرکت سازنده گرافیک,نوع گرافیک,مدل گرافیک,حجم گرافیک,رم گرافیک,رابط حافظه,توان گرافیک,توان افزایشی,DirectX,PCIe,سایز صفحه نمایش (اینچ),پنل تصویر,نوع نمایش تصویر,وضوح تصویر,رزولوشن,نرخ تصویر,نسبت تصویر,Adobe RGB,sRGB,Type-C,USB 3.2,ظرفیت و نوع,جنس باطری,میزان شارژ دهی,توان آداپتور,نوع نمایش نور کیبورد,تعداد اسپیکر,نوع اسپیکر,تعداد فن,محتویات جعبه
لپ تاپ لنوو IdeaPad 3 | 12GB RAM | 512GB SSD | i7 | 2GB VGA ا Lenovo Ideapad 3,از ۲۶٫۲۴۰٫۰۰۰ تومان,,,,2,,,,,Corei7,,,,,4,8,,,,,,3200MHZ,,,,,,,,,,,,64Bit,,,,,,TN,,FULL HD,1080*1920,,,,,,,,,,,,,,,
لپ‌تاپ  لنوو مدل Legion 5 | 32GB RAM | 1TB SSD | Ryzen 7 5800H | VGA 3060 6GB  | ا Lenovo Legion 5,۲ فروشنده دیگر,,,,2.4,,,,,Ryzen 7,,,,,8,16,,,,,,3200MHZ,,,,,,,,,,,,192Bit,130 وات,,,,,IPS,,FULL HD,1080*1920,,,,,,,,,,,,,,,
لپ‌ تاپ17.3 اینچی ایسوس مدل Asus TUF FX706HM-HX031W i5-16-512SSD-6GB ا N.B ASUS TUF GAMING FX706HM-HX031W i5-11400H/16/512SSD/6-RTX3060,۶ فروشنده دیگر,"برنامه نویسی, تدوین, دانشجویی, طراحی, گیمینگ",تایوان,399x269x24.8,2.6,پلاستیک,Intel,Tiger Lake,نسل 11,Core i5,11400H,2.7GHz,4.5GHz,12MB,6,12,10 نانومتری,x86,45 وات,16GB,DDR4,3200MHz,2,Up to 32GB,SSD,512GB,PCIe NVMe,2,NVIDIA,GeForce,RTX 3060,6GB,GDDR6,192Bit,90 وات,95 وات,DirectX 12,4.0,17.3,IPS,Wide View,Full HD,1920x1080,144Hz,16:9,47.34%,62.5%,"(DisplayPort), (Thunderbolt 4), 1",3,4Cell 90WHr,لیتیوم یون,2 الی 3 ساعت,200 وات,Backlit Chiclet Keyboard 1-Zone RGB,2 عدد,Built-in array microphone,2,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ ایسوس ROG Zephyrus G15 GA503RW-B ا Asus R7 6800HS-16GB-1TB SSD-8GB 3070 Ti-WQHD Laptop,۸ فروشنده دیگر,,,,,,,,,Ryzen 6000,,3.2GHz,,,,,,,,,,,1×,,,1TB,,,,,NVIDIA GeForce RTX 3070 Ti,,,,,,,,,,,1440 × 2560 @ WQHD,,,,,,,,,,,,,,,,
لپ تاپ ایسوس 17.3 اینچی مدل VivoBook 17X K1703ZA-A پردازنده Core i7 12700H رم 16GB حافظه 1TB SSD گرافیک INTEL ا ASUS VivoBook 17X K1703ZA-A Core i7 12700H 16GB 1TB SSD INTEL Full HD Laptop,از ۴۶٫۸۴۴٫۰۰۰ تومان,,,399.3×251.3×19.8 میلیمتر,,,,Alder Lake-P,نسل 12,12700H,,,,24 مگابایت حافظه کش,14 هسته حقیقی + 20 هسته مجازی,,10 نانومتری,,45 وات,,,,1عدد,,SSD,,PCIe NVMe,1عدد,,INTEL IRIS XE,,,,,,,,,,,,Full HD,1080x1920,60 هرتز,16.9,,,,,,,,65 وات,Backlit با نور سفید رنگ,2 عدد,SonicMaster,,
لپ تاپ  ایسر Aspire 7 A715 | 16GB RAM | 1TB SSD | Ryzen 7 5700U | VGA 1650 4GB ا Acer Aspire 7 A715,۳ فروشنده دیگر,,,,,,,,,"Ryzen 7, ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Full HD, ,",,,,,,,,,,,,,,,,
لپ تاپ گیمینگ ایسوس fx506HC  | 32 GB RAM | 1TB SSD | i5 | 4GB VGA ا ASUS Dash  F15  Tuf  fx506HC,از ۴۱٫۸۰۰٫۰۰۰ تومان,"تدوین, دانشجویی, طراحی, گیمینگ, مالتی مدیا",تایوان,359x256x22.8,2.3,پلاستیک,Intel,Tiger Lake,نسل 11,Core i5,11400H,2.7GHz,4.5GHz,12MB,6,12,10 نانومتری,x86,45 وات,32GB,DDR4,3200MHz,2,Up to 32GB,SSD,1TB,PCIe NVMe,2,NVIDIA,GeForce,RTX 3050,4GB,GDDR6,128Bit,60 وات,75 وات,DirectX 12,4.0,15.6,IPS,Wide View,Full HD,1920x1080,144Hz,16:9,47.34%,62.5%,"(DisplayPort), (Thunderbolt 4), 1",3,4Cell 90WHr,لیتیوم یون,2 الی 3 ساعت,200 وات,Backlit Chiclet Keyboard 1-Zone RGB,2 عدد,Built-in array microphone,2,"دفترچه راهنما, شارژر, کابل شارژر"
"لپ تاپ ایسوس15.6 اینچی R1605ZA گرافیک INTEL گیگابایت ا Asus VivoBook R1605ZA i5-1235U 16GB 512GB SSD INTEL (IRIS XE) 16""FHD Laptop",از ۲۸٫۱۰۰٫۰۰۰ تومان,,,381*251*27میلیمتر,,,,Alder Lake,نسل 12,1235U,,,,12 مگابایت,10 هسته حقیقی 12 هسته مجازی,,10 نانومتری,,15 وات,,,,1 عدد,,SSD,,PCIe NVMe,1عدد,,,,,,,,,,,,IPS,,,1200x1920,60 هرتز,16.9,,,,,,,,45 وات,,2 عدد,SonicMaster,,
لپ تاپ ایسر Nitro 5 AN515-58-57ZF-AA ا Acer i5 12500H-16GB-1TB SSD-4GB 3050-FHD Laptop,۵ فروشنده دیگر,,,26.9 × 271.7 × 360.6,2.49,,,,,Core i5,RTX 3050,3.3GHz,4.5GHz,,12,16,,,,,,,,,GDDR6,,,,,,,,,128Bit,,,,,,IPS,,FULL HD,1080 × 1920,,,,,,,4Cell 57WHr,,,,,,,,
لپ تاپ ایسوس K513EQ | 8GB RAM | 512GB SSD | i7 | 2GB VGA ا Asus K513EQ,از ۳۳٫۵۰۰٫۰۰۰ تومان,"برنامه نویسی, حسابداری, دانش آموزی, دانشجویی",تایوان,359x235x17.9,1.8,پلاستیک,Intel,Tiger Lake,نسل 11,Core i7,1165G7,2.8GHz,4.7GHz,12MB,4,8,10 نانومتری,x86,28 وات,8GB,DDR4,3200MHz,2,Up to 16GB,SSD,512GB,PCIe NVMe,1,NVIDIA,GeForce,MX350,2GB,GDDR5,64Bit,12 وات,25 وات,DirectX 12,3.0,15.6,IPS,Wide View,Full HD,1920x1080,60Hz,16:9,,,1,1,3Cell 42WHrs,لیتیوم یون,1 الی 2 ساعت,65 وات,White Backlit,2 عدد,harman/kardon (Mainstream),1,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ ایسوس 17.3 اینچی ایسوس مدل ROG Strix G713RM-KH070 R7 6800H 16GB 1TB SSD ا Asus ROG Strix G713RM-KH070 R7 6800H 16GB 1TB SSD 6GB RTX3060 Laptop,از ۶۷٫۰۰۰٫۰۰۰ تومان,"تدوین, دانشجویی, طراحی, گیمینگ, مالتی مدیا",تایوان,395x282x28.3,2.9,فلز، پلاستیک,AMD,AMD Rembrandt (Zen 3+),نسل 6,Ryzen 7,6800H,3.2GHz,4.7GHz,20MB,8,16,6 نانومتری,x86,45 وات,16GB,DDR5,4800MHz,2,Up to 32GB,SSD,1TB,PCIe NVMe,2,NVIDIA,GeForce,RTX 3060,6GB,GDDR6,192Bit,115 وات,140 وات,DirectX 12,4.0,17.3,IPS,Wide View,Full HD,1920x1080,360Hz,16:9,75.35%,100%,"(DisplayPort), (Power Delivery), 2",2,4Cell 90WHr,لیتیوم یون,1 الی 3 ساعت,240 وات,4Zone RGB,2 عدد,Dolby Atmos,2,"دفترچه راهنما, شارژر, کابل شارژر"
لپتاپ HP EliteBook 850 G4 Core i7 گرافیکدار,۲۴٫۴۵۵٫۲۱۴ تومان,,,,,,,,,i7,,,,,,,,,,,,,,,,,,,,,AMD Radeon R7,,,,,,,,,,,,,,,,,,2عدد,,,,,,,,,
لپ تاپ ایسوس K513EQ | 16GB RAM | 512GB SSD | i5 | 2GB VGA ا ASUS VivoBook K513EQ,از ۳۲٫۳۹۹٫۰۰۰ تومان,"اداری, حسابداری, دانشجویی, روزمره, مالتی مدیا",تایوان,359x235x17.9,1.8,فلز، پلاستیک,Intel,Tiger Lake,نسل 11,Core i5,1135G7,2.4GHz,4.2GHz,8MB,4,8,10 نانومتری,x86,28 وات,16GB,DDR4,3200MHz,1,,SSD,512GB,PCIe NVMe,1,NVIDIA,GeForce,MX350,2GB,GDDR5,64Bit,,,DirectX 12,3.0,15.6,IPS,Wide View,Full HD,1920x1080,60Hz,16:9,,,1,1,3Cell 42WHrs,لیتیوم یون,1 الی 2 ساعت,65 وات,White Backlit,2 عدد,harman/kardon (Mainstream),1,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ ایسوس مدل VivoBook X515EP Core i7(1165G7)-16GB-512GB SSD-2GB(MX330)-Full HD,از ۲۹٫۹۹۰٫۰۰۰ تومان,,,360.2×234.9×19.9,1.8,,,,,Core i7,MX330,2.8GHz,4.7GHz,12MB,4,8,,,,,DDR4,,,Up to 16GB,SSD,,,,,GEFORCE,,2GB,GDDR5,64Bit,,,,,15.6,TFT,,FULL HD,1080 × 1920,60Hz,,,,,,2Cell 37WHr,,,,,,,,
لپ تاپ ایسوس G17 G713RM | 16GB RAM | 1TB SSD | Ryzen 9 | 6GB VGA ا Asus ROG STRIX G17 G713RM,از ۶۶٫۵۰۰٫۰۰۰ تومان,,,۳۹۵x۲۸۲x۲۶ میلیمتر,,,,AMD Rembrandt (Zen 3+),نسل 6,6900HX,,,,16 مگابایت,8 هسته حقیقی + 16 هسته مجازی,,6 نانومتری,,45 وات,,,,2 عدد,,SSD,,PCIe NVMe,2 عدد,,GeForce,,,,,,140 وات,,,,IPS,,Full HD,1080x1920,360 هرتز,16:9,,,,,,,,240 وات,4Zone RGB,2 عدد,Dolby Atmos,,
لپ تاپ ام اس آی 14 اینچی مدل Modern 14 C13M-438IN پردازنده Core i3-1315U رم 8GB حافظه 512GB SSD گرافیک Intel ا MSI Modern 14 C13M-438IN Core i3-1315U 8GB 512GB SSD Intel Full HD Laptop,از ۲۵٫۷۹۱٫۰۰۰ تومان,,,359x241x19.9 میلی متر,,,,Raptor Lake,نسل 13,1315U,,,,10مگابایت,6 هسته حقیقی+8 هسته مجازی,,10 نانومتری,x86,15 وات,,,,2 عدد,,,,PCIe NVMe Gen 3.0,2 عدد,,,,,,,,,,,,IPS,,,,60 هرتز,16:9,,,,,,,,65 وات,,2 عدد,,,
مک بوک پرو ME865LL/A 2013 با جعبه 256 گیگابایت با صفحه نمایش 13 اینچ رتینا,۱ فروشنده دیگر,,,,,,,,,core i5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
لپ تاپ ایسوس E410MA | 4GB RAM | 256GB SSD | Celeron N4020 ا ASUS E410MA,۱۷ فروشنده دیگر,,,۱۸×۲۱۷×۳۲۵ میلیمتر,,,,,,N4020,,,,4 مگابایت,2 هسته حقیقی + 2 هسته مجازی,,14 نانومتری,x86,6 وات,,,,1 عدد,,,,PCIe NVMe Gen 3.0,1عدد,,,,,,,,,,,,TFT,,,,60 هرتز,16:9,,,,,,,,33 وات,ندارد,1 عدد,SonicMaster,,
"لپ تاپ ایسر acer ASPIRE 5532 ، 15.6 inch , پردازنده AMD Athlon 64 processor , رم 3 گیگابایت, هارد 250 گیگابایت , گرافیک ATI Radeon HD3200 Graphics Up to 1408MB HyperMemory, وب کم, VGA port",۴٫۹۹۰٫۰۰۰ تومان,,,,,پی وی سی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280 X 800,,,,,,,,,,,,,,,
لپ تاپ مایکروسافت  16GB RAM | 256GB SSD | i7 | Surface 3 ا Laptop Surface 3,از ۳۲٫۰۰۰٫۰۰۰ تومان,,,,,,,,,Core i7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
لپ تاپ لنوو Legion 5 Pro | 16GB RAM | 1TB SSD | i7 | 8GB VGA ا Laptop Lenovo Legion 5 Pro,از ۷۰٫۴۵۰٫۰۰۰ تومان,"برنامه نویسی, تدوین, طراحی سنگین, گیمینگ",چین,359.9x264.4x19.9,2.49,آلومینیوم,Intel,Alder Lake,نسل 12,Core i7,12700H,2.3GHz,4.7GHz,24MB,14,20,10 نانومتری,x86,45 وات,16GB,DDR5,4800MHz,2,,SSD,1TB,PCIe NVMe,2,NVIDIA,GeForce,RTX 3070,8GB,GDDR6,256Bit,150 وات,,DirectX 12,4.0,16.0,IPS,,WQXGA,2560x1600,165Hz,16:10,,100%,"(Thunderbolt 4), 3",3,4Cell 80WHr,لیتیوم پلیمر,2 الی 3 ساعت,300 وات,Blue Backlit,2 عدد,Nahimic Audio,2,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ ام اس آی  Katana GF66 |  16GB RAM | 1TB SSD | i7 | 4GB VGA ا MSI Katana GF66  11UC,۱ فروشنده دیگر,,,359x259x24.9 میلی‌متر,,,,Alder Lake,نسل 12,12650H,,,,24 MB,10 هسته حقیقی + 16 رشته مجازی,,10 نانومتری,,45 تا 115 وات,,,,2 عدد,,,,PCIe NVMe,1عدد,,GeForce,,,,,,,,,,IPS,,,,144 هرتز,,,,,,,,,,RGB Backlight Keyboard,2 عدد,Stereo,,
"لپ تاپ Ideapad Gaming 3-JC لنوو | ۱۵.۶ اینچی   I7 (12700H  ) , 32GB DDR4 , 1TB SSD , 4GB RTX3050ti ا Lenovo IdeaPad Gaming 3-JC 15.6 Inch Laptop",از ۴۶٫۴۹۹٫۰۰۰ تومان,,,359.6×251.9×24.2,,,,,,12650H,,,,24 MB,10 هسته حقیقی + 16 رشته مجازی,,10 نانومتری,x86,45 وات,,,,2 عدد,,SSD,,PCIe NVMe Gen 3.0,2 عدد,,GeForce,,,,,,,DirectX 12,,,IPS,,,,120 هرتز,16:9,,,,,,,,230 وات,4Zone RGB,2 عدد,Nahimic Audio,,
لپ تاپ سرفیس پرو 6 مایکروسافت رم 8 حافظه 256 گیگابایت COR I5,۱ فروشنده دیگر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
لپ تاپ ایسوس 15.6 اینچی مدل X515EA پردازنده Core i3 1115G4 رم 8GB حافظه 512GB SSD گرافیک Intel فول اچ دی ا X515EA Core i3 1115G4 8GB 512GB SSD Intel Full HD Laptop,از ۱۸٫۹۴۹٫۰۰۰ تومان,,,360.2×234.9×19.9,1.8,,,,,Core i3,1115G4,3.0GHz,4.1GHz,6MB,2,4,,,,,DDR4,3200MHz,,Up to 12GB,SSD,,,,,UHD,,UP TO 4GB,,,,,,,15.6,WV,,FULL HD,1080 × 1920,60Hz,,,,,,2Cell 37WHr,,,,,,,,
لپ تاپ لمسی 15.6 اینچی ایسوس مدل Asus Zenbook Flip 15 Q508 - LKC ا Asus Ryzen 7 5700U - 8GB - 1SSD - 2GB MX450 - FULL HD - TOUCH,۳ فروشنده دیگر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
لپ تاپ اچ‌ پی Victus 16 | 8GB RAM | 256GB SSD | i5 | 4GB VGA ا HP Victus 16,۳۷٫۹۰۰٫۰۰۰ تومان,,,,,,,,,11th Gen\Tiger Lake,,2.70GHz,,,,,,,,,,,2×,,,256GB,,,,,NVIDIA GeForce RTX 3050,,,,,,,,,,,1080 × 1920 @ FULL HD,,,,,,,,,,,,,,,,
"لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEQ3 پردازنده M2 رم 8GB حافظه 512GB SSD ا Apple MacBook Pro 2022 13.3"" MNEQ3 M2 8GB 512GB SSD Laptop",از ۷۲٫۵۰۰٫۰۰۰ تومان,,,,,,,,,M2 chipset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
لپ تاپ HP ZBook 15 G5-Quadro P2000,۵ فروشنده دیگر,,,,,,,,,Core i7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPTOP GAMING MSI GE63 RAIDER,۲۶٫۵۰۰٫۰۰۰ تومان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
لپ تاپ Samsung np740u5l,۱۰٫۶۰۰٫۰۰۰ تومان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
لپ تاپ لنوو IdeaPad1 4GB RAM | 128GB SSD | 3050E ا Lenovo Ideapad 1,۹ فروشنده دیگر,,,,,,,,,Athlon,,,,,2 هسته‌ای,4 رشته‌ای,,,,,,,,,,,,,,,,,,,,,,,,,,,768 × 1366 مگاپیکسل,,,,,,,,,,,,,,,
لپ تاپ 15 اینچی ام اس آی مدل MSI GF63 - 11SC Thin - A ا MSI Core i7 11800H - 8GB - 512SSD - 4GB GTX1650 - 144Hz - FULL HD,۲ فروشنده دیگر,,,,,,,,,,,,,,8 هسته حقیقی + 16 هسته مجازی,,,,,,,,,,,,,,,,NVIDIA GeForce RTX 3050 | 4G GDDR6 128 Bit,,,,,,,,,,,,,,,,,,,,,,,,,,,
لپ تاپ 15.6 اینچی ایسوس مدل VivoBook R565EP-EJ617 ا ASUS i5 1135G7-16GB-512GB SSD-2GB GeForce MX330 GDDR5-IPS ۱۵.۶ inch FHD Laptop,از ۲۸٫۹۵۰٫۰۰۰ تومان,,,,,پلاستیک,,,,Core i5,,,,,چهار هسته,,,,,,,,,,,,,,,,,,,,,,,,,,,FHD (1920 x 1080),,,,,,,,,,,,,,,,
لپ تاپ گیمینگ 15.6 اینچ گیگابایت مدل G5 KD-52EE123SD ا GIGABYTE G5 GD-51EE123SD i5 16G 512G 6G NOS,۴۴٫۰۰۰٫۰۰۰ تومان,,,,2,,,,,Corei5,,,,,6,12,,,,,,3200MHZ,,,,,,,,,,,,192Bit,105 وات,,,,,IPS,,FULL HD,1080*1920,,,,,,,,,,,,,,,
لپ تاپ 15.6 اینچی ایسوس مدل ROG Strix G15 G513RM R7 16G 1T SSD ا Asus R7 6800H-16GB-1TB SSD-6GB 3060-WQHD Laptop,از ۶۰٫۷۰۰٫۰۰۰ تومان,,,,2.3,,,,,Ryzen 7,,,,,8,16,,,,,,4800MHz,,,,,,,,,,,,192Bit,115 تا 140 وات,,,,,IPS,,WQXGA,2560*1440,,,,,,,,,,,,,,,
"لپ تاپ ایسوس مدل ASUS Vivobook S5402 ا ASUS VivoBook S 14X OLED Laptop, 14.5"" OLED Display 2.8K 16:10 120Hz HDR, Intel Evo Platform, Intel Core i7-12700H CPU, 12GB RAM, 512GB SSD, Windows 11 Home, Midnight Black, S5402ZA-IS74",۲ فروشنده دیگر,"اداری, برنامه نویسی, حسابداری, دانش آموزی, دانشجویی, مالتی مدیا, وب گردی",تایوان,322.3x230.9x17.9,1.6,پلاستیک,Intel,Alder Lake,نسل 12,Core i7,12700H,2.3GHz,4.7GHz,24MB,14,20,10 نانومتری,x86,45 وات,12GB,DDR4,3200MHz,1,Up to 16GB,SSD,512GB,PCIe NVMe,1,Intel,Iris Xe,Xe,Up to 4GB share,,,,,DirectX 12,,14.5,OLED,,2.8K,2880x1800,120Hz,16:10,,,"(DisplayPort), (Power Delivery), (Thunderbolt 4), 2",1,3Cell 70WHr,لیتیوم یون,1 الی 3 ساعت,90 وات,Backlit Chiclet Keyboard,2 عدد,"Built-in array microphone, harman/kardon (Mainstream)",1,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ اپل   MKGQ3 | 16GB RAM | 1TB SSD | M1 PRO ا Mac  Book  Pro  14inch  MKGQ3,از ۱۰۰٫۰۰۰٫۰۰۰ تومان,,,,,تمام آلومنیوم,,,,Apple M1,,3.2 گیگاهرتز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
لپتاپ Surface Book2 i7 /16GB/512GB/2GB DDR5,از ۳۱٫۵۰۰٫۰۰۰ تومان,,,,,,,,,Core i7,,,,8 مگابایت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
لپ تاپ ۱4 اینچی ایسوس مدل ASUS ZenBook UX5400EG,از ۶۷٫۷۰۰٫۰۰۰ تومان,,,,,,,,,نسل 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8K (2880 x 1800),,,,,,,,,,,,,,,,
لپ تاپ ایسوس 16 اینچی مدل VivoBook M1603QA پردازنده Ryzen 5 رم 8GB حافظه 512GB SSD گرافیک 4RX ا VivoBook M1603QA Ryzen 5 5600H 8GB 512GB SSD RX VEGA 7 Full HD Laptop,از ۲۷٫۶۰۰٫۰۰۰ تومان,,,,,فلز,,,,Ryzen 5,VivoBook M1603QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1200 × 1920) پیکسل,,,,,,,,,,,,,,,
لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i3 1115G4 رم 8GB حافظه 512GB SSD گرافیک Intel UHD ا V15 Core i3 1115G4 8GB 512GB SSD Intel Full HD Laptop,از ۱۵٫۹۹۰٫۰۰۰ تومان,"اداری, حسابداری, دانش آموزی, روزمره, مالتی مدیا, وب گردی",چین,359.2x235.8x19.9,1.7,پلاستیک,Intel,Tiger Lake,نسل 11,Core i3,1115G4,3.0GHz,4.1GHz,6MB,2,4,10 نانومتری,x86,28 وات,8GB,DDR4,3200MHz,1,Up to 12GB,SSD,512GB,PCIe NVMe,1,Intel,UHD,,Up to 2GB share,,,,,,,15.6,TN,,Full HD,1920x1080,60Hz,16:9,,,1,1,2Cell 38WHrs,لیتیوم پلیمر,1 الی 2 ساعت,65 وات,Backlit,2 عدد,Dolby Audio,1,"دفترچه راهنما, شارژر, کابل شارژر, کیف"
لپ تاپ مایکروسافت  8GB RAM | 128GB SSD | i5 | Surface 3 ا Laptop Surface 3,از ۱۹٫۰۰۰٫۰۰۰ تومان,,,,,,,,,Core i5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,۱۶۶۴ * ۲۴۹۶ پیکسل,,,,,,,,,,,,,,,,
لپ تاپ ایسوس TUF Gaming F15 FX506LH-ZF,۳ فروشنده دیگر,"تدوین, دانشجویی, طراحی, گیمینگ, مالتی مدیا",تایوان,359x256x24.7,2.3,پلاستیک,Intel,Comet Lake,نسل 10,Core i5,10300H,2.5GHz,4.5GHz,8MB,4,8,14 نانومتری,x86,45 وات,8GB,DDR4,3200MHz,2,Up to 32GB,SSD,1TB,PCIe NVMe,1,NVIDIA,GeForce,GTX 1650,4GB,GDDR6,128Bit,,50 وات,DirectX 12,4.0,15.6,IPS,Wide View,Full HD,1920x1080,144Hz,16:9,47.1%,62.5%,"(DisplayPort), 1",2,3Cell 48WHrs,لیتیوم یون,1 الی 2 ساعت,150 وات,Backlit Chiclet Keyboard 1-Zone RGB,2 عدد,Built-in array microphone,2,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ دل ایکس پی مدل XPS 15 9575- 2 in 1-i7-AMD Radeon RX Vega M,۲ فروشنده دیگر,,,,,,,,,,,,,,,,,,,,,,,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
لپ تاپ گیمینگ  اچ پی OMEN 16-b0080TX | 16GB RAM | 512GB SSD | i7 | 6GB VGA ا HP OMEN 16-b0080TX,از ۵۹٫۰۰۰٫۰۰۰ تومان,,,,2.3,,,,,Corei7,,,,,8,16,,,,,,3200MHZ,,,,,,,,,,,,192Bit,,,,,,IPS,,FHD,1080×1920,,,,,,,,,,,,,,,
لپ تاپ گیمینگ ایسوس راگ ROG Strix Scar 18 G834JY i9 13980HX RTX4090 175W 64G 2T 2023,۲۴۶٫۵۹۰٫۰۰۰ تومان,,,,3.1,,,,,,,,,,,,,,,,,,دو اسلات رم تا 64 گیگ,,,,,,,,,,,,,,,,,,,,2.5K,,,,,,,,,,,,,asus,,
لپ تاپ لنوو لاک LENOVO LOQ-15IRH8 I7(13620H) 16GB 512SSD 6(4050),از ۵۸٫۴۹۰٫۰۰۰ تومان,,,,,"قاب بالا آلومنیوم, قاب پایین پلی کربنات+ABS",,,نسل 13 اینتل,Core i7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus TUF A15 FA507RE Ryzen 7 6800H 8 512SSD 4 RTX3050Ti FHD ا لپ تاپ ایسوس FA507 RE,از ۴۴٫۶۹۰٫۰۰۰ تومان,,,22.4 × 251 × 354 میلی‌متر,,,,AMD Rembrandt (Zen 3+),نسل 6,6800H,,,,16 مگابایت,8 هسته حقیقی + 16 هسته مجازی,,6 نانومتری,,45 وات,,,,2 عدد,,SSD,,PCIe NVMe,2 عدد,,GeForce,,,,,,95 وات,,,,IPS,,Full HD,1080x1920,144 هرتز,16:9,,,,,,,,200 وات,,,,,
لپ تاپ ایسوس 13 اینچی مدل ZenBook 13 UX325EA پردازنده Core i5 رم 16GB حافظه 512GB SSD گرافیک Intel ا Asus ZenBook 13 UX325EA Core i5 1135G7 16GB 512GBB SSD Intel Full HD Laptop,از ۳۸٫۳۰۰٫۰۰۰ تومان,,,,,,,,,11th Gen\Tiger Lake,,2.40GHz,,,,,,,,,,,1×,,,512GB,,,,,,,,,,,,,,,,1080 × 1920 @ FULL HD,,,,,,,,,,,,,,,,
لپ تاپ ایسوس 15.6 اینچی مدل X515EP پردازنده Core i5 1135G7 رم 16GB حافظه 512GB SSD گرافیک 2GB ا X515EP Core i5 1135G7 16GB 512GB SSD 2GB MX330 FHD Laptop,از ۲۶٫۹۹۹٫۰۰۰ تومان,,,,1.8,,,,,Corei5,,,,,4,8,,,,,,3200MHZ,,,,,,,,,,,,64Bit,,,,,,TFT,,FULL HD,1080*1920,,,,,,,,,,,,,,,
ایسوس ROG G513 قیمت و خرید تمامی مدل های ASUS G513,۳۲٫۲۰۰٫۰۰۰ تومان,,,,,,,,,,,,,16M,,,,,,,DDR4-3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
لپ تاپ ایسوس 15.6 اینچی مدل R1502ZA پردازنده Core i3 1215U رم 8GB حافظه 256GB SSD گرافیک Intel ا R1502ZA Core i3 1215U 8GB 256GB SSD Intel Full HD Laptop,از ۲۱٫۰۰۰٫۰۰۰ تومان,,,381*251*27میلیمتر,,,,Alder Lake,نسل 12,1215U,,,,10مگابایت,6 هسته حقیقی+8 هسته مجازی,,10 نانومتری,,15 وات,,,,1 عدد,,SSD,,PCIe NVMe,1عدد,,,,,,,,,,,,TN,,Full HD,1080x1920,60 هرتز,16.9,,,,,,,,45 وات,,2 عدد,SonicMaster,,
Dell G15 Ryzen7 5800H 16 512SSD 6 RTX3060 FHD ا لپ تاپ دل G15,از ۵۴٫۸۹۰٫۰۰۰ تومان,,,,,,,,,خیر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
